id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews
182451,KITS SUPER CENTRAL DELIGHTFULL APT!,874660,Penny,Kitsilano,49.25962,-123.16848,Entire home/apt,93,51
194806,D28 - Spectacular 2 bedroom,30899,Rami,Downtown,49.27936,-123.10934,Entire home/apt,124,29
196722,"Three bedrooms, fantastic location!",958297,Elana & Gary,Grandview-Woodland,49.26364,-123.06967,Entire home/apt,208,13
200643,This is the door to Vancouver USW,981145,Dianne,Downtown Eastside,49.27384,-123.08289,Private room,87,136
202211,Trout Lake Haven !,989790,Paul,Kensington-Cedar Cottage,49.25381,-123.05951,Private room,75,163
219261,A Real Gem in the Heart of Kits,1135259,Rami,Kitsilano,49.27246,-123.14954,Entire home/apt,200,157
226731,Vancouver central- 1bdrm private condo,560892,Vancouver Furnished,Downtown,49.28406,-123.11598,Entire home/apt,166,12
226757,"Amazing views, Cultural heart of Vancouver-Robson3",560892,Vancouver Furnished,Downtown,49.28119,-123.11883,Entire home/apt,211,8
236297,West End Retreat - Private Room/Bath,1238915,Adam,West End,49.29,-123.14087,Private room,150,39
248014,"Stunning views, comfort, location!!",1299977,Gabriella,Grandview-Woodland,49.29074,-123.05849,Entire home/apt,121,1
248973,East Vancouver Hidden Gem,1304461,Shelley,Hastings-Sunrise,49.28053,-123.05494,Entire home/apt,140,85
249106,East Vancouver Loft,1304461,Shelley,Hastings-Sunrise,49.28035,-123.05365,Shared room,45,92
254657,Heritage Loft in heart of Gastown,241920,Scott,Downtown Eastside,49.28273,-123.10492,Entire home/apt,199,67
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,Kensington-Cedar Cottage,49.24003,-123.0639,Private room,68,39
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,Downtown,49.27796,-123.12671,Entire home/apt,99,52
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,Renfrew-Collingwood,49.23311,-123.02669,Private room,66,70
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,Grandview-Woodland,49.26415,-123.07008,Entire home/apt,200,5
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,Grandview-Woodland,49.26634,-123.06207,Entire home/apt,79,194
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,Downtown,49.27825,-123.11865,Private room,250,41
363705,This is the door to Vancouver USE,981145,Dianne,Downtown Eastside,49.27711,-123.07861,Private room,73,104
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,Grandview-Woodland,49.279,-123.06977,Private room,42,56
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,Renfrew-Collingwood,49.23468,-123.05508,Private room,50,192
416453,Ultra Modern Studio in Chinatown,1318151,Suz,Downtown Eastside,49.27844,-123.09986,Entire home/apt,150,44
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,199
419437,Trout  Lake  Haven,989790,Paul,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,75,88
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,Downtown Eastside,49.28297,-123.10393,Entire home/apt,245,71
441075,1 Bdrm Apartment Downtown Vancouver,2121651,Diana,Downtown Eastside,49.28398,-123.10528,Entire home/apt,219,46
